Master_Chapter_ID,Chapter,Chapter_Title,Scripture_Ref,Theme,Manuscript_Status,Master_Version,Manuscript_Location,Last_Approved
WOW-CH16,CH16,The Giraffe Revelation: Seeing Higher,Colossians 3:2,Vision & Perspective,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH16/,
WOW-CH17,CH17,Small Animals in the Kitchen: God Speaks in Strange Places,1 Kings 19:12,God in the Ordinary,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH17/,
WOW-CH18,CH18,Daniel 10: The Battle for Delayed Blessings,Daniel 10:12,Spiritual Warfare / Delay,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH18/,
WOW-CH19,CH19,It's Just a Shadow,Psalm 27:1,Fearlessness,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH19/,
WOW-CH20,CH20,This Time the Enemy Will Not Steal,Joel 2:25,Recovery & Authority,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH20/,
WOW-CH21,CH21,The Tomb Has Been Rolled Away: I Will Rise,Matthew 28:2,Resurrection,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH21/,
WOW-CH22,CH22,Dry Bones Rattling: It Is Finished,Ezekiel 37:5,Revival / Finished Work,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH22/,
WOW-CH23,CH23,Fresh Fresh Fire: Burn for You,2 Timothy 1:6,Renewal & Fire,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH23/,
WOW-CH24,CH24,I'm Coming Out at Midnight,Acts 16:26,Midnight Breakthrough,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH24/,
WOW-CH25,CH25,The Scroll Was in My Belly,Ezekiel 3:3,Prophetic Word Within,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH25/,
WOW-CH26,CH26,The Scroll of Survival: Living Testimony,Revelation 12:11,Testimony & Survival,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH26/,
WOW-CH27,CH27,Rise Above the Soil: Fruitful Emergence,John 12:24,Emergence & Fruitfulness,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH27/,
WOW-CH28,CH28,Faith Under Fire: I Still Believe,Daniel 3:17,Tested Faith,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH28/,
WOW-CH29,CH29,I'm Dancing on the Grave I Once Lived In,Psalm 30:11,Triumphant Joy,Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH29/,
WOW-CH30,CH30,This Is How You Walk on Water,Matthew 14:29,Faith Over Fear (Culmination),Draft,1,WOW Book – This Is How You Walk on Water/01 Manuscript – Chapters/CH30/,
